Item_Code,Material_Code,Qty,T_B,Package,Cell
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002899,1,ST,P0804,1
EP94-04820A,2007-002900,1,ST,P0804,1
EP94-04820A,2007-002900,1,ST,P0804,1
EP94-04820A,2007-002900,1,ST,P0804,1
EP94-04820A,2007-003015,1,ST,P0802,1
EP94-04820A,2007-003015,1,ST,P0802,1
EP94-04820A,2007-003015,1,ST,P0802,1
EP94-04820A,2007-003015,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
EP94-04820A,2007-003019,1,ST,P0802,1
