Job Name,EP94-04794A_PP3235-77A_T_01B,Type,Board No.,Ref.,Pos X,Pos Y,Mark Name,ASSIGN,,,,,,
X,360,Fiducial,0,V1,335.000,135.500,M1,NXT16M,,,,,,
Y,159,Fiducial,0,V2,29.500,19.000,M1,NXT16M,,,,,,
T,2,Panel ID,0,PSN,349.000,80.500,2D Label,,,,,,,
Level,Ref.,Pos X,Pos Y,,,,,,,,,,,
Global,BackupPin1,,,,,,,,,,,,,
Global,BackupPin2,,,,,,,,,,,,,
Global,BackupPin3,,,,,,,,,,,,,
Global,BackupPin4,,,,,,,,,,,,,
Global,BackupPin5,,,,,,,,,,,,,
Global,BackupPin6,,,,,,,,,,,,,
Global,BackupPin7,,,,,,,,,,,,,
Global,BackupPin8,,,,,,,,,,,,,
Global,BackupPin9,,,,,,,,,,,,,
Global,BackupPin10,,,,,,,,,,,,,
Global,BackupPin11,,,,,,,,,,,,,
Global,BackupPin12,,,,,,,,,,,,,
Global,BackupPin13,,,,,,,,,,,,,
Global,BackupPin14,,,,,,,,,,,,,
Global,BackupPin15,,,,,,,,,,,,,
Global,BackupPin16,,,,,,,,,,,,,
Global,BackupPin17,,,,,,,,,,,,,
Global,BackupPin18,,,,,,,,,,,,,
Global,BackupPin19,,,,,,,,,,,,,
Global,BackupPin20,,,,,,,,,,,,,
Ref.,Pos X,Pos Y,Rotation,Part Number,Place Before,Board,Part Name,Cond,Vender,Feeder,Pos Z,Carry Mode,Stack Target,
C151,195.500,50.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C153,62.800,51.900,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C156,70.200,47.500,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C157,71.700,48.000,90,2203-007776,,1,R2012_CAP_ms_V2,SMD,,E0804,0,,,
C159,116.000,47.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C16,144.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C161,70.200,44.600,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C162,62.800,43.400,90,2203-007544,,1,R1005_ms_V5,SMD,,P0802,0,,,
C163,96.500,42.500,0,2203-009594,,1,R2012_CAP_ms_V2,SMD,,P0804,0,,,
C164,106.000,42.500,0,2203-009594,,1,R2012_CAP_ms_V2,SMD,,P0804,0,,,
C166,116.000,42.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C167,126.000,42.500,0,2203-009594,,1,R2012_CAP_ms_V2,SMD,,P0804,0,,,
C168,135.500,42.500,0,2203-009594,,1,R2012_CAP_ms_V2,SMD,,P0804,0,,,
C169,155.100,43.700,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C17,147.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C171,67.900,40.400,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C172,65.200,39.800,90,2203-000714,,1,R1005_ms_V5,SMD,,P0802,0,,,
C173,74.900,35.800,0,2203-005249,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C174,61.500,37.200,0,2203-009015,,1,R4520_CAP_ms_V1,SMD,,E1204_L,0,,,
C175,67.600,36.500,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C176,116.000,37.000,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C178,57.550,35.000,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C179,67.800,34.400,90,2203-002285,,1,R1005_ms_V5,SMD,,P0802,0,,,
C18,150.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C180,74.400,34.000,90,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C181,333.000,37.000,0,2203-010067,,1,R4520_CAP_ms_V1,SMD,,E1204_L,0,,,
C182,57.600,33.400,0,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C183,67.413,32.200,90,2203-007462,,1,R2012_CAP_ms_V2,SMD,,E0804_L,0,,,
C184,73.800,32.000,0,2203-007843,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C185,76.500,33.100,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C186,116.000,32.500,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C187,148.300,32.500,0,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C189,69.900,31.300,90,2203-009181,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C19,153.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C190,81.400,30.800,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C191,86.500,30.700,90,2203-006698,,1,R1608_CAP_ms_V1,SMD,,P0804,0,,,
C192,102.000,31.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C193,106.500,31.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C194,125.500,31.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C195,130.000,31.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C196,76.500,28.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C197,102.000,28.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C198,106.500,28.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C199,125.500,28.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C2,102.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C20,156.000,145.900,90,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C200,130.000,28.500,0,2203-010040,,1,R3225_CAP_ms_V1,SMD,,E0804_L,0,,,
C204,322.500,30.000,90,2203-010067,,1,R4520_CAP_ms_V1,SMD,,E1204_L,0,,,
C205,333.000,32.000,0,2203-010067,,1,R4520_CAP_ms_V1,SMD,,E1204_L,0,,,
